_key,active,full_name,team,position,status,espn_id,fantasy_data_id,gsis_id,kalshi_id,oddsjam_id,rotowire_id,rotoworld_id,sportradar_id,stats_id,swish_id,yahoo_id
12643,true,Kyle Kennard,LAC,DE,Active,,26146,,65141155-7504-428f-b1a1-cfbcfed0cdff,0BFAC305162A937A,18668,,83573dd8-c19e-4e20-9c3d-056418bf3842,,,
12644,true,Barryn Sorrell,GB,DE,Active,,26123,,9674df68-9f75-415d-8958-e6c402fe0331,9EE32211B040D89F,18666,,6120d1a4-44bb-478d-8911-a7543418f1ad,,,
12645,true,David Walker,TB,LB,Active,,26132,,aea8d7fe-d612-4192-98ff-3b7599ac2003,D94D61E57DDA2E73,18670,,d5b3eaa3-b6ad-4794-ad61-6a9293a71738,,,
12646,true,Barrett Carter,CIN,LB,Active,,25024,,040cf5a1-67c5-49e3-be48-b5d00dfe629f,D30523F4A9C943F4,18720,,92ddcecf-9837-460b-9117-b3ec5447e356,,,
12647,true,Billy Bowman,ATL,DB,Active,,26118,,84be6ef6-a891-47ee-9fc5-ab3ff6b8bf92,50D3055A655AA64C,18618,,4f423d1f-622b-45e7-a8c7-18d37d27978b,,,
12648,true,Cody Simon,ARI,LB,Active,,26074,,5d85667c-9a10-40d9-865c-94a061733cc5,CCF5E11D14ED1EA7,18723,,bb0b9a85-f3f0-40e5-86fe-0434494caf17,,,
12649,true,C.J. West,SF,DT,Active,,26130,,0b52d9b6-dd0b-4bc3-ae35-3278ce9ddfb8,F11DF13D1C29A7B3,18702,,4e1e4a5a-a8c2-45e8-8c0b-c8ac10724666,,,
1265,false,Daryl Richardson,,RB,Inactive,15111,14696,,,,8309,,837bce25-3d09-47a7-9840-b9afa3c0074c,616069,,25962
12650,true,Danny Stutsman,NO,LB,Active,,26071,,5e310043-cc70-4a4a-8f29-90f7f35ca143,09B0F56F6D227BA4,18722,,1dea6eaf-2631-4fa0-80a8-476bbd93af92,,,
12651,true,Ty Robinson,PHI,DT,Active,,26222,,a17cc0e0-3e38-4fc9-8ea4-e9f0db2f64d9,A650743C9ACB5F55,18688,,193ab2af-e24e-4abc-aad7-196328445984,,,
12652,true,Deone Walker,BUF,DT,Active,,25990,,af2074d5-4d43-4206-b00a-b205033f550e,DEBE6936BF8C8BD5,18691,,9514d4d4-f32a-477d-9eda-a76ae9e28a77,,,
12653,true,Jack Kiser,JAX,LB,Active,,26073,,428f365c-d681-4082-9727-32f6cb0759f3,FF3D21B8272871B4,18727,,870b148e-5abc-4dcf-a70c-db0df4b4dd75,,,
12654,true,Craig Woodson,NE,DB,Active,,26135,,90b39960-d9d4-4b2b-a6b1-7710511a8d7d,F7D3B4DBBD57C591,18632,,2ed92c83-4e76-4632-abb8-704a2c6c6a2c,,,
12655,true,Tyler Baron,NYJ,DE,Active,,26225,,ae9e32d1-e8d9-41eb-b55c-59c0e634465e,7E19C7ADA82DAA4B,18491,,8dcb1e01-e200-4ba0-be45-1dc8871d9838,,,
12656,true,Robbie Ouzts,SEA,RB,Inactive,,26124,,b37b3b81-27b9-40d0-9eeb-d511909f9e25,82684BD6C2BF8F8E,18624,,fc472cd5-1a00-4bd9-ab41-6eb7e50f0d21,,,
12657,true,Denzel Burke,ARI,CB,Active,,25017,,ab2fe2fc-1c56-4e6b-b31a-227834259c06,2CECF0F5050BBD02,18596,,51d70da6-cd09-4f2d-8b1a-1a458bea1d8a,,,
12658,true,Jackson Hawes,BUF,TE,Active,,25972,,809430e4-8314-421a-97e4-922b5a09a237,628E6F92E4C2C235,18538,,87304bcd-83f1-4e59-b9cb-6474f7e0dc01,,,
