id,sport,value,team
9156,baseball,Cody Hall,TB
9158,baseball,Rocky Gale,LAD
9160,baseball,Ariel Pena,MLW
9162,baseball,Ryan Weber,NYY
9163,baseball,Socrates Brito,PIT
9164,baseball,Steve Baron,CLE
9168,baseball,Trevor Brown,SF
9170,baseball,Keon Broxton,MLW
9172,baseball,Max Kepler,ARZ
9173,baseball,Jorge Lopez,WAS
9174,baseball,Michael Reed,SF
9175,baseball,Adrian Houser,SF
9176,baseball,Yhonathan Barrios,MLW
9178,baseball,Nomar Mazara,SD
9183,baseball,Kenta Maeda,DET
9186,baseball,Brady Dragmire,WAS
9187,baseball,Blake McFarland,TOR
9188,baseball,Taylor Motter,STL
9189,baseball,Jake Faria,BOS
9192,baseball,Chris Lee,BAL
9194,baseball,Marco Hernandez,BOS
9195,baseball,Williams Jerez,PIT
9196,baseball,Pat Light,SEA
9197,baseball,Ben Gamel,HOU
9198,baseball,Johnny Barbato,DET
9200,baseball,Luis Cessa,CIN
9202,baseball,Brett Eibner,MIA
9204,baseball,Alec Mills,CIN
9205,baseball,Matt Strahm,KC
9206,baseball,Erik Gonzalez,MIA
9207,baseball,Tyler Naquin,CWS
9208,baseball,James Ramsey,MIN
9209,baseball,Dylan Baker,LAD
9210,baseball,Mike Clevinger,CWS
9215,baseball,Michael Ynoa,CWS
9216,baseball,Wynton Bernard,COL
9217,baseball,Michael Fulmer,NYY
9221,baseball,JT Chargois,SEA
9224,baseball,Mason Melotakis,MIN
9225,baseball,Taylor Rogers,MIN
9227,baseball,Mike Strong,MIN
9229,baseball,Boog Powell,CIN
9230,baseball,David Fletcher,ATL
9233,baseball,Rangel Ravelo,LAD
9234,baseball,Joey Wendle,ATL
9238,baseball,Patrick Kivlehan,SD
9239,baseball,Jose Leclerc,ATH
9242,baseball,Alfredo Gonzalez,CWS
9243,baseball,Jonathan Arauz,NYM
9244,baseball,Nolan Fontana,LAA
9245,baseball,Andrew Aplin,SEA
9247,baseball,Juan Minaya,MIN
9248,baseball,Joe Musgrove,SD
9250,baseball,Danny Reynolds,LAD
9251,baseball,Jake Cave,COL
9252,baseball,Rookie Davis,PIT
9253,baseball,Amir Garrett,LAA
9258,baseball,Gift Ngoepe,TOR
9260,baseball,Harold Ramirez,WAS
9261,baseball,Trey Haley,BAL
9262,baseball,Victor Caratini,MIN
9263,baseball,Willson Contreras,BOS
9264,baseball,Jeimer Candelario,LAA
9266,baseball,Jason Vosler,SEA
9267,baseball,Andury Acevedo,ARZ
9268,baseball,Mike Ohlman,TEX
9269,baseball,Aledmys Diaz,HOU
9270,baseball,Anthony Garcia,LAD
9271,baseball,Charlie Tilson,CWS
9272,baseball,Jayson Aquino,BAL
9273,baseball,Matt Bowman,BAL
9274,baseball,Dean Kiekhefer,ATH
9276,baseball,Colin Walsh,LAA
9277,baseball,Jacob Barnes,TOR
9278,baseball,Zach Jones,MIN
9279,baseball,Damien Magnifico,PIT
9281,baseball,Ross Stripling,ATH
9283,baseball,Jake Barrett,NYY
9284,baseball,Matt Koch,COL
9285,baseball,Ty Blach,CHC
9286,baseball,Ray Black,MLW
9289,baseball,Derek Law,ARZ
9290,baseball,Steven Okert,HOU
9292,baseball,Chris Stratton,LAD
9294,baseball,Carlos Estevez,KC
9295,baseball,German Marquez,SD
9297,baseball,Antonio Senzatela,MLW
9300,baseball,Tyron Guerrero,BOS
9301,baseball,Josh Martin,CLE
9303,baseball,Blake Smith,CWS
9305,baseball,Cesar Vargas,WAS
9306,baseball,Tyler Goeddel,CIN
9308,baseball,Jimmy Cordero,NYY
9309,baseball,Edubray Ramos,LAD
9311,baseball,Robert Gsellman,CHC
9312,baseball,Seth Lugo,KC
9313,baseball,Josh Smoker,DET
9316,baseball,Austin Brice,PIT
9318,baseball,Jarlin Garcia,PIT
9319,baseball,Nick Wittgren,KC
9320,baseball,Mallex Smith,SEA
9321,baseball,Mauricio Cabrera,ATL
9324,baseball,Evan Rutckyj,NYY
9327,baseball,Nick Lee,WAS
9328,baseball,Blake Snell,LAD
9329,baseball,Carl Edwards Jr.,NYM
