id,value,team
2877,Mangok Mathiang,CHA
2878,Melo Trimble,MIN
2879,Gian Clavell,DAL
2880,Jacob Wiley,BKN
2881,Ben Moore,SA
2882,Antonius Cleveland,DAL
2883,Xavier Rathan-Mayes,MEM
2884,Nigel Hayes-Davis,MIL
2885,Jamel Artis,SAC
2886,Troy Caupain,POR
2887,London Perrantes,POR
2888,Rodney Purvis,MIA
2889,L.J. Peak,BOS
2890,Andrew White,NY
2891,James Blackmon-Jr.,PHI
2892,Tyler Cavanaugh,UTH
2893,Trey McKinney-Jones,IND
2894,Terry Henderson,CHA
2895,Naz Mitrou-Long,IND
2896,Peter Jok,PHO
2897,Isaiah Briscoe,ORL
2898,Matt Jones,SAC
2899,Isaiah Hicks,NY
2900,T.J. Williams,CHA
2902,Luke Petrasek,CHA
2903,Erik McCree,UTH
2904,Jordan Mathews,ATL
2905,Jaylen Johnson,CHI
2906,Jacob Pullen,PHI
2907,Landry Nnoko,DET
2908,Derek Willis,DET
2909,Amida Brimah,DEN
2910,Bryce Alford,OKC
2911,Rashawn Thomas,OKC
2912,Jeremy Morgan,MEM
2913,JaCorey Williams,CLE
2914,Milton Doyle,CHI
2915,Jeremy Senglin,BKN
2916,Guerschon Yabusele,CHI
2917,Daniel Theis,OKC
2918,Taylor Braun,UTH
2919,Maxi Kleber,LAL
2920,PJ Dozier,MIN
2921,Marcus Williams,SAC
2922,V.J. Beachem,LAL
2923,Devin Williams,BOS
2924,Jamil Wilson,LAC
2925,Alex Hamilton,GS
2926,George de-Paula,HOU
2927,LaDontae Henton,LAC
2928,Torian Graham,UTH
2929,Durand Scott,MEM
2930,Daniel Dixon,BOS
2931,Reggie Hearn,LAL
2932,Isaac Hamilton,CLE
2933,Davion Berry,TOR
2934,Yannis Morin,OKC
2935,Kamari Murphy,BKN
2936,Tahjere McCall,ATL
2937,Trevor Thompson,GS
2938,Ike Iroegbu,LAC
2939,Myke Henry,OKC
2940,Josh Gray,BKN
2941,Walter Lemon,IND
2942,Jaylen Morris,SA
2943,Le'Bryan Nash,HOU
2944,Andre Ingram,LAL
2945,Aaron Jackson,HOU
2946,Chandler Hutchison,PHO
2947,Wendell Carter Jr.,ORL
2948,Kevin Knox,CHI
2949,Mitchell Robinson,BOS
2950,Collin Sexton,LAL
2951,Alize Johnson,MIN
2952,Aaron Holiday,HOU
2953,Jacob Evans,NY
2954,Khyri Thomas,HOU
2955,Isaac Bonga,TOR
2956,Landry Shamet,NY
2957,Mikal Bridges,NY
2958,Ray Spalding,HOU
2959,Kostas Antetokounmpo,CHI
2960,Darius Brown,CLE
2961,Issuf Sanon,WAS
2962,Bruce Brown,DEN
2963,Arnoldas Kulboka,CHA
2964,Shai Gilgeous-Alexander,OKC
2965,Hamidou Diallo,WAS
2966,Rodions Kurucs,MIL
2967,Dzanan Musa,DET
2968,Josh Okogie,UTH
2969,Keita Bates-Diop,MIN
2970,Jaren Jackson Jr.,UTH
2971,Jevon Carter,ORL
2972,Svi Mykhailiuk,UTH
2973,Moritz Wagner,BKN
2974,De'Anthony Melton,GS
2975,Devonte' Graham,POR
2976,Kevin Huerter,DET
2977,Omari Spellman,NY
2978,Luka Doncic,LAL
2979,Tony Carr,NO
2980,Robert Williams III,POR
2981,Chimezie Metu,DET
2982,Lonnie Walker IV,DEN
2983,Miles Bridges,PHO
2984,Jerome Robinson,GS
2985,Vincent Edwards,HOU
2986,Grayson Allen,CHA
2987,Donte DiVincenzo,MIN
2988,Shake Milton,LAL
2989,Jalen Brunson,NY
2990,Trae Young,WAS
2991,Zhaire Smith,CLE
2992,Elie Okobo,BKN
2993,Deandre Ayton,WAS
2994,George King,DAL
2995,Kevin Hervey,OKC
2996,Devon Hall,OKC
2997,Anfernee Simons,PHI
2998,Gary Trent Jr.,MIL
2999,Marvin Bagley III,DEN
3000,Michael Porter Jr.,BKN
3001,Thomas Welsh,CHA
3002,Justin Jackson,ORL
3003,Jarred Vanderbilt,LAL
3004,Melvin Frazier,OKC
3005,Mo Bamba,UTH
3006,J.P. Macura,CLE
3007,Jaylen Adams,MIL
3008,Malik Newman,CLE
3009,Brad Wanamaker,WAS
3010,Allonzo Trier,NY
3011,Jared Terrell,MIN
3012,Ryan Broekhoff,PHI
3013,Angel Delgado,LAC
3014,Billy Preston,CLE
3015,Deonte Burton,SAC
3016,Duncan Robinson,DET
3017,Keenan Evans,DET
3018,Trevon Bluiett,UTH
3019,Elijah Stewart,IND
3020,Yuta Watanabe,MEM
3021,Johnathan Williams,WAS
3022,Rawle Alkins,NO
3023,Garlon Green,NO
3024,Kenrich Williams,OKC
3025,Yanyuhang Ding,DAL
3026,Trevon Duval,HOU
3027,Daryl Macon,MIA
3028,Joe Chealey,CHA
3029,Wenyen Gabriel,MEM
3030,Yante Maten,BOS
3031,Johnny Hamilton,ATL
3032,Brandon McCoy,NO
3033,Terry Larrier,LAC
3034,Codi Miller-McIntyre,DAL
3035,Theo Pinson,DAL
3036,Jordan Loyd,TOR
3037,DeVaughn Akoon-Purcell,OKC
3038,Marcus Derrickson,ATL
3039,Rob Gray,HOU
3040,Tyler Davis,OKC
3041,Markel Crawford,MEM
3042,Marcus Lee,MIA
3043,Mitchell Creek,MIN
3044,Jordan McLaughlin,SA
3045,Donte Grantham,LAC
3046,Deng Adel,BKN
3047,Trey Lewis,UTH
3048,Brandon Goodwin,NY
3049,Norvel Pelle,POR
3050,Chris Chiozza,BKN
3051,Drew Eubanks,SAC
3052,Doral Moore,MEM
3053,Robert Johnson,MIL
3054,Kaiser Gates,NO
3055,Tyrius Walker,NY
3056,Tiwian Kendley,WAS
3057,Jairus Lyles,UTH
3058,Isaac Haas,UTH
3059,Zach Lofton,DET
3060,Darius Johnson-Odom,MIN
3061,Jonathan Stark,MIN
3062,Desi Rodriguez,LAC
3063,Cameron Reynolds,HOU
3064,Bonzie Colson,MIL
3065,Zach Smith,CHA
3066,Jeff Roberson,BOS
3067,Jaylen Barford,CHA
3068,Nick King,BOS
3069,Justin Bibbs,LAC
3070,Levi Randolph,CLE
3071,Kendrick Nunn,WAS
3072,Isaiah Wilkins,CHA
3073,Jeffrey Carroll,LAL
3074,Joel Berry II,LAL
3075,Gary Clark,NO
3076,Emanuel Terry,PHO
3077,Gabe York,IND
3078,B.J. Johnson,ORL
3079,Nuni Omot,NY
3080,Braian Angola-Rodas,ORL
3081,Devin Davis,ORL
3082,Taren Sullivan,SAC
3083,Phillip Carr,NY
3084,Ismaila Kane,MEM
3085,Gabe Vincent,ATL
